game_date,visitor_team,visitor_goals,home_team,home_goals,attendance,game_lenght,game_decided,seasonality
2008-10-04,Pittsburgh Penguins,4,Ottawa Senators,3,"13,699",NaN,OT,0
2008-10-04,New York Rangers,2,Tampa Bay Lightning,1,"17,085",NaN,NaN,0
2008-10-05,Tampa Bay Lightning,1,New York Rangers,2,"17,085",NaN,NaN,0
2008-10-05,Ottawa Senators,3,Pittsburgh Penguins,1,"13,699",NaN,NaN,0
2008-10-09,Boston Bruins,5,Colorado Avalanche,4,"18,007",NaN,NaN,0
2008-10-09,Toronto Maple Leafs,3,Detroit Red Wings,2,"20,066",NaN,NaN,0
2008-10-09,Anaheim Ducks,1,San Jose Sharks,4,"17,496",NaN,NaN,0
2008-10-09,Calgary Flames,0,Vancouver Canucks,6,"18,630",NaN,NaN,0
2008-10-10,Washington Capitals,4,Atlanta Thrashers,7,"18,545",NaN,NaN,0
2008-10-10,Montreal Canadiens,1,Buffalo Sabres,2,"18,690",NaN,SO,0
2008-10-10,Florida Panthers,4,Carolina Hurricanes,6,"18,680",NaN,NaN,0
2008-10-10,Columbus Blue Jackets,5,Dallas Stars,4,"18,532",NaN,OT,0
2008-10-10,New York Islanders,1,New Jersey Devils,2,"16,834",NaN,NaN,0
2008-10-10,Chicago Blackhawks,2,New York Rangers,4,"18,200",NaN,NaN,0
2008-10-10,Nashville Predators,2,St. Louis Blues,5,"19,150",NaN,NaN,0
2008-10-11,Vancouver Canucks,5,Calgary Flames,4,"19,289",NaN,OT,0
2008-10-11,Atlanta Thrashers,2,Florida Panthers,3,"18,401",NaN,OT,0
2008-10-11,Boston Bruins,3,Minnesota Wild,4,"18,568",NaN,NaN,0
2008-10-11,Dallas Stars,1,Nashville Predators,3,"17,113",NaN,NaN,0
2008-10-11,St. Louis Blues,2,New York Islanders,5,"16,234",NaN,NaN,0
2008-10-11,Detroit Red Wings,3,Ottawa Senators,2,"20,182",NaN,NaN,0
2008-10-11,New York Rangers,4,Philadelphia Flyers,3,"19,623",NaN,NaN,0
2008-10-11,Columbus Blue Jackets,1,Phoenix Coyotes,3,"17,125",NaN,NaN,0
2008-10-11,New Jersey Devils,2,Pittsburgh Penguins,1,"17,132",NaN,OT,0
2008-10-11,Los Angeles Kings,1,San Jose Sharks,3,"17,496",NaN,NaN,0
2008-10-11,Carolina Hurricanes,4,Tampa Bay Lightning,3,"18,552",NaN,OT,0
2008-10-11,Montreal Canadiens,6,Toronto Maple Leafs,1,"19,370",NaN,NaN,0
2008-10-11,Chicago Blackhawks,2,Washington Capitals,4,"18,277",NaN,NaN,0
2008-10-12,Phoenix Coyotes,4,Anaheim Ducks,2,"17,174",NaN,NaN,0
2008-10-12,Colorado Avalanche,2,Edmonton Oilers,3,"16,839",NaN,NaN,0
2008-10-12,San Jose Sharks,1,Los Angeles Kings,0,"18,118",NaN,NaN,0
2008-10-13,Detroit Red Wings,3,Carolina Hurricanes,1,"18,680",NaN,NaN,0
2008-10-13,Nashville Predators,3,Chicago Blackhawks,2,"21,712",NaN,SO,0
2008-10-13,Buffalo Sabres,7,New York Islanders,1,"13,523",NaN,NaN,0
2008-10-13,New Jersey Devils,1,New York Rangers,4,"18,200",NaN,NaN,0
2008-10-13,Montreal Canadiens,5,Philadelphia Flyers,3,"19,323",NaN,NaN,0
2008-10-13,St. Louis Blues,5,Toronto Maple Leafs,4,"19,045",NaN,SO,0
2008-10-13,Vancouver Canucks,1,Washington Capitals,5,"16,847",NaN,NaN,0
2008-10-14,Minnesota Wild,4,Atlanta Thrashers,2,"11,843",NaN,NaN,0
2008-10-14,Colorado Avalanche,4,Calgary Flames,5,"19,289",NaN,NaN,0
2008-10-14,Anaheim Ducks,3,Los Angeles Kings,6,"14,451",NaN,NaN,0
2008-10-14,Philadelphia Flyers,2,Pittsburgh Penguins,3,"16,965",NaN,OT,0
2008-10-14,Columbus Blue Jackets,2,San Jose Sharks,5,"17,496",NaN,NaN,0
2008-10-15,Edmonton Oilers,3,Anaheim Ducks,2,"16,604",NaN,NaN,0
2008-10-15,Phoenix Coyotes,1,Chicago Blackhawks,4,"20,522",NaN,NaN,0
2008-10-15,Nashville Predators,4,Dallas Stars,6,"16,899",NaN,NaN,0
2008-10-15,Boston Bruins,3,Montreal Canadiens,4,"21,273",NaN,SO,0
2008-10-15,Buffalo Sabres,3,New York Rangers,1,"18,200",NaN,NaN,0
2008-10-16,New Jersey Devils,1,Atlanta Thrashers,0,"11,293",NaN,NaN,0
2008-10-16,Philadelphia Flyers,2,Colorado Avalanche,5,"18,007",NaN,NaN,0
2008-10-16,Vancouver Canucks,4,Detroit Red Wings,3,"19,011",NaN,OT,0
2008-10-16,Minnesota Wild,6,Florida Panthers,2,"12,106",NaN,NaN,0
2008-10-16,Washington Capitals,4,Pittsburgh Penguins,3,"17,030",NaN,NaN,0
2008-10-16,Dallas Stars,1,St. Louis Blues,6,"18,550",NaN,NaN,0
2008-10-16,New York Islanders,4,Tampa Bay Lightning,3,"14,420",NaN,OT,0
2008-10-17,San Jose Sharks,0,Anaheim Ducks,4,"17,174",NaN,NaN,0
2008-10-17,Vancouver Canucks,2,Buffalo Sabres,5,"18,449",NaN,NaN,0
2008-10-17,Nashville Predators,3,Columbus Blue Jackets,5,"17,930",NaN,NaN,0
2008-10-17,Edmonton Oilers,4,Calgary Flames,3,"19,289",NaN,NaN,0
2008-10-17,Carolina Hurricanes,3,Los Angeles Kings,4,"14,194",NaN,OT,0
2008-10-17,Toronto Maple Leafs,0,New York Rangers,1,"18,200",NaN,SO,0
2008-10-17,Phoenix Coyotes,3,Ottawa Senators,6,"20,179",NaN,NaN,0
2008-10-18,Buffalo Sabres,2,Atlanta Thrashers,3,"14,091",NaN,SO,0
2008-10-18,Colorado Avalanche,5,Dallas Stars,4,"17,151",NaN,NaN,0
2008-10-18,New York Rangers,4,Detroit Red Wings,5,"20,066",NaN,OT,0
2008-10-18,Calgary Flames,2,Edmonton Oilers,3,"16,839",NaN,NaN,0
2008-10-18,New York Islanders,0,Florida Panthers,2,"16,087",NaN,NaN,0
2008-10-18,Phoenix Coyotes,1,Montreal Canadiens,4,"21,273",NaN,NaN,0
2008-10-18,Columbus Blue Jackets,3,Nashville Predators,6,"13,259",NaN,NaN,0
2008-10-18,Boston Bruins,4,Ottawa Senators,2,"19,318",NaN,NaN,0
2008-10-18,Toronto Maple Leafs,1,Pittsburgh Penguins,4,"17,033",NaN,NaN,0
2008-10-18,Philadelphia Flyers,4,San Jose Sharks,5,"17,496",NaN,OT,0
2008-10-18,Chicago Blackhawks,3,St. Louis Blues,4,"19,150",NaN,SO,0
2008-10-18,Minnesota Wild,1,Tampa Bay Lightning,0,"15,191",NaN,SO,0
2008-10-18,New Jersey Devils,4,Washington Capitals,3,"17,904",NaN,SO,0
2008-10-19,Carolina Hurricanes,3,Anaheim Ducks,1,"16,847",NaN,NaN,0
2008-10-19,Vancouver Canucks,2,Chicago Blackhawks,4,"21,193",NaN,NaN,0
2008-10-20,Pittsburgh Penguins,2,Boston Bruins,1,"17,565",NaN,SO,0
2008-10-20,Colorado Avalanche,4,Los Angeles Kings,3,"13,891",NaN,NaN,0
2008-10-20,Florida Panthers,1,Montreal Canadiens,3,"21,273",NaN,NaN,0
2008-10-20,Dallas Stars,2,New York Rangers,1,"18,200",NaN,NaN,0
2008-10-21,Boston Bruins,2,Buffalo Sabres,3,"18,334",NaN,SO,0
2008-10-21,Vancouver Canucks,2,Columbus Blue Jackets,4,"12,057",NaN,NaN,0
2008-10-21,Washington Capitals,1,Calgary Flames,2,"19,289",NaN,NaN,0
2008-10-21,Atlanta Thrashers,2,Tampa Bay Lightning,3,"13,922",NaN,OT,0
2008-10-21,Anaheim Ducks,3,Toronto Maple Leafs,2,"19,222",NaN,SO,0
2008-10-22,Edmonton Oilers,0,Chicago Blackhawks,3,"21,168",NaN,NaN,0
2008-10-22,Dallas Stars,0,New Jersey Devils,5,"12,101",NaN,NaN,0
2008-10-22,Florida Panthers,3,Ottawa Senators,1,"18,952",NaN,NaN,0
2008-10-22,San Jose Sharks,7,Philadelphia Flyers,6,"19,072",NaN,SO,0
2008-10-22,Detroit Red Wings,4,St. Louis Blues,3,"19,150",NaN,NaN,0
2008-10-23,Toronto Maple Leafs,4,Boston Bruins,2,"12,274",NaN,NaN,0
2008-10-23,Edmonton Oilers,1,Colorado Avalanche,4,"14,898",NaN,NaN,0
2008-10-23,Buffalo Sabres,4,Minnesota Wild,3,"18,568",NaN,OT,0
2008-10-23,Calgary Flames,5,Nashville Predators,3,"12,042",NaN,NaN,0
2008-10-23,Dallas Stars,5,New York Islanders,3,"10,183",NaN,NaN,0
2008-10-23,Washington Capitals,1,Phoenix Coyotes,2,"14,722",NaN,NaN,0
2008-10-23,Carolina Hurricanes,1,Pittsburgh Penguins,4,"17,132",NaN,NaN,0
2008-10-24,New York Rangers,3,Columbus Blue Jackets,1,"14,724",NaN,NaN,0
2008-10-24,Atlanta Thrashers,3,Detroit Red Wings,5,"20,066",NaN,NaN,0
2008-10-24,San Jose Sharks,3,Florida Panthers,4,"15,232",NaN,NaN,0
2008-10-24,Philadelphia Flyers,6,New Jersey Devils,3,"15,529",NaN,NaN,0
2008-10-24,Anaheim Ducks,4,Ottawa Senators,3,"19,762",NaN,NaN,0
2008-10-24,Los Angeles Kings,4,St. Louis Blues,0,"19,150",NaN,NaN,0
2008-10-25,Atlanta Thrashers,4,Boston Bruins,5,"16,044",NaN,NaN,0
2008-10-25,Detroit Red Wings,6,Chicago Blackhawks,5,"22,690",NaN,SO,0
2008-10-25,Buffalo Sabres,1,Colorado Avalanche,2,"18,007",NaN,SO,0
2008-10-25,Washington Capitals,6,Dallas Stars,5,"18,532",NaN,OT,0
2008-10-25,Columbus Blue Jackets,1,Minnesota Wild,2,"18,568",NaN,NaN,0
2008-10-25,Anaheim Ducks,6,Montreal Canadiens,4,"21,273",NaN,NaN,0
2008-10-25,Los Angeles Kings,4,Nashville Predators,5,"14,704",NaN,NaN,0
2008-10-25,Carolina Hurricanes,4,New York Islanders,3,"11,219",NaN,NaN,0
2008-10-25,Pittsburgh Penguins,2,New York Rangers,3,"18,200",NaN,SO,0
2008-10-25,New Jersey Devils,2,Philadelphia Flyers,3,"19,611",NaN,OT,0
2008-10-25,Calgary Flames,4,Phoenix Coyotes,1,"15,038",NaN,NaN,0
2008-10-25,Florida Panthers,0,St. Louis Blues,4,"19,150",NaN,NaN,0
2008-10-25,San Jose Sharks,3,Tampa Bay Lightning,0,"16,831",NaN,NaN,0
2008-10-25,Ottawa Senators,2,Toronto Maple Leafs,3,"19,232",NaN,NaN,0
2008-10-25,Edmonton Oilers,3,Vancouver Canucks,6,"18,630",NaN,NaN,0
2008-10-27,Ottawa Senators,5,Buffalo Sabres,2,"18,690",NaN,NaN,0
2008-10-27,Anaheim Ducks,3,Columbus Blue Jackets,2,"10,494",NaN,NaN,0
2008-10-27,Boston Bruins,1,Edmonton Oilers,0,"16,839",NaN,OT,0
2008-10-27,Detroit Red Wings,4,Los Angeles Kings,3,"17,671",NaN,SO,0
2008-10-27,Chicago Blackhawks,2,Minnesota Wild,3,"18,568",NaN,NaN,0
2008-10-27,New York Rangers,4,New York Islanders,2,"15,581",NaN,NaN,0
2008-10-28,Philadelphia Flyers,7,Atlanta Thrashers,0,"13,207",NaN,NaN,0
2008-10-28,Colorado Avalanche,0,Calgary Flames,3,"19,289",NaN,NaN,0
2008-10-28,Carolina Hurricanes,2,Montreal Canadiens,3,"21,273",NaN,SO,0
2008-10-28,Pittsburgh Penguins,1,San Jose Sharks,2,"17,496",NaN,NaN,0
2008-10-28,Tampa Bay Lightning,3,Toronto Maple Leafs,2,"19,348",NaN,NaN,0
2008-10-28,Boston Bruins,1,Vancouver Canucks,0,"18,630",NaN,NaN,0
2008-10-28,Nashville Predators,3,Washington Capitals,4,"17,011",NaN,SO,0
2008-10-29,Detroit Red Wings,4,Anaheim Ducks,5,"17,174",NaN,OT,0
2008-10-29,Minnesota Wild,2,Dallas Stars,4,"18,431",NaN,NaN,0
2008-10-29,Toronto Maple Leafs,6,New Jersey Devils,5,"14,119",NaN,SO,0
2008-10-30,Tampa Bay Lightning,5,Buffalo Sabres,2,"18,690",NaN,NaN,0
2008-10-30,Boston Bruins,2,Calgary Flames,3,"19,289",NaN,NaN,0
2008-10-30,Columbus Blue Jackets,4,Colorado Avalanche,2,"14,945",NaN,NaN,0
2008-10-30,Ottawa Senators,2,Florida Panthers,1,"13,567",NaN,NaN,0
2008-10-30,Vancouver Canucks,4,Los Angeles Kings,0,"13,652",NaN,NaN,0
2008-10-30,Montreal Canadiens,2,Minnesota Wild,1,"18,568",NaN,NaN,0
2008-10-30,Edmonton Oilers,1,Nashville Predators,3,"11,294",NaN,NaN,0
2008-10-30,Atlanta Thrashers,2,New York Rangers,3,"18,200",NaN,NaN,0
2008-10-30,New York Islanders,2,Philadelphia Flyers,3,"18,227",NaN,OT,0
2008-10-30,Pittsburgh Penguins,1,Phoenix Coyotes,4,"15,178",NaN,NaN,0
2008-10-30,Detroit Red Wings,2,San Jose Sharks,4,"17,496",NaN,NaN,0
2008-10-30,Carolina Hurricanes,1,St. Louis Blues,0,"17,860",NaN,NaN,0
2008-10-31,Vancouver Canucks,7,Anaheim Ducks,6,"16,704",NaN,SO,0
2008-10-31,Dallas Stars,2,Chicago Blackhawks,5,"21,212",NaN,NaN,0
2008-11-01,Dallas Stars,1,Boston Bruins,5,"14,576",NaN,NaN,0
2008-11-01,Washington Capitals,0,Buffalo Sabres,5,"18,690",NaN,NaN,0
2008-11-01,Edmonton Oilers,3,Carolina Hurricanes,1,"15,016",NaN,NaN,0
2008-11-01,Chicago Blackhawks,4,Columbus Blue Jackets,3,"14,680",NaN,SO,0
2008-11-01,Calgary Flames,3,Los Angeles Kings,2,"16,279",NaN,NaN,0
2008-11-01,Atlanta Thrashers,1,New Jersey Devils,6,"14,958",NaN,NaN,0
2008-11-01,Florida Panthers,2,Nashville Predators,3,"14,909",NaN,SO,0
2008-11-01,Montreal Canadiens,5,New York Islanders,4,"14,429",NaN,NaN,0
2008-11-01,Minnesota Wild,3,Phoenix Coyotes,2,"14,817",NaN,NaN,0
2008-11-01,Pittsburgh Penguins,6,St. Louis Blues,3,"19,150",NaN,NaN,0
2008-11-01,Ottawa Senators,2,Tampa Bay Lightning,3,"16,104",NaN,SO,0
2008-11-01,New York Rangers,2,Toronto Maple Leafs,5,"19,179",NaN,NaN,0
2008-11-02,Calgary Flames,2,Anaheim Ducks,3,"16,965",NaN,NaN,0
2008-11-02,Florida Panthers,3,Atlanta Thrashers,5,"10,584",NaN,NaN,0
2008-11-02,Toronto Maple Leafs,4,Carolina Hurricanes,6,"15,635",NaN,NaN,0
2008-11-02,San Jose Sharks,5,Colorado Avalanche,3,"15,452",NaN,NaN,0
2008-11-02,Edmonton Oilers,5,Philadelphia Flyers,4,"19,437",NaN,NaN,0
2008-11-02,Detroit Red Wings,3,Vancouver Canucks,2,"18,630",NaN,NaN,0
2008-11-03,Colorado Avalanche,2,Chicago Blackhawks,6,"21,142",NaN,NaN,0
2008-11-03,Buffalo Sabres,2,New Jersey Devils,0,"10,567",NaN,NaN,0
2008-11-03,Columbus Blue Jackets,3,New York Islanders,4,"10,184",NaN,OT,0
2008-11-04,Phoenix Coyotes,4,Calgary Flames,2,"19,289",NaN,NaN,0
2008-11-04,Anaheim Ducks,1,Los Angeles Kings,0,"14,327",NaN,OT,0
2008-11-04,New York Islanders,2,New York Rangers,1,"18,200",NaN,NaN,0
2008-11-04,Washington Capitals,1,Ottawa Senators,2,"18,485",NaN,OT,0
2008-11-04,Minnesota Wild,1,San Jose Sharks,3,"17,183",NaN,NaN,0
2008-11-04,Carolina Hurricanes,5,Toronto Maple Leafs,4,"19,266",NaN,OT,0
2008-11-04,Nashville Predators,0,Vancouver Canucks,4,"18,630",NaN,NaN,0
2008-11-05,St. Louis Blues,2,Anaheim Ducks,5,"16,144",NaN,NaN,0
2008-11-05,Edmonton Oilers,4,Columbus Blue Jackets,5,"11,228",NaN,NaN,0
2008-11-05,Tampa Bay Lightning,3,New Jersey Devils,4,"11,619",NaN,SO,0
2008-11-06,New York Islanders,3,Atlanta Thrashers,4,"14,122",NaN,NaN,0
2008-11-06,Toronto Maple Leafs,2,Boston Bruins,5,"15,391",NaN,NaN,0
2008-11-06,Nashville Predators,6,Calgary Flames,7,"19,289",NaN,NaN,0
2008-11-06,Minnesota Wild,3,Colorado Avalanche,1,"14,562",NaN,NaN,0
2008-11-06,Florida Panthers,2,Los Angeles Kings,3,"11,267",NaN,NaN,0
2008-11-06,Tampa Bay Lightning,2,New York Rangers,5,"18,200",NaN,NaN,0
2008-11-06,Philadelphia Flyers,1,Ottawa Senators,4,"18,938",NaN,NaN,0
2008-11-06,Edmonton Oilers,4,Pittsburgh Penguins,5,"16,971",NaN,NaN,0
2008-11-06,St. Louis Blues,4,San Jose Sharks,5,"17,496",NaN,SO,0
2008-11-06,Phoenix Coyotes,0,Vancouver Canucks,1,"18,630",NaN,NaN,0
2008-11-06,Carolina Hurricanes,2,Washington Capitals,3,"17,874",NaN,NaN,0
2008-11-07,Dallas Stars,5,Anaheim Ducks,2,"17,048",NaN,NaN,0
2008-11-07,Atlanta Thrashers,5,Buffalo Sabres,4,"18,466",NaN,OT,0
2008-11-07,Ottawa Senators,1,Carolina Hurricanes,2,"15,206",NaN,NaN,0
2008-11-07,Montreal Canadiens,3,Columbus Blue Jackets,4,"14,603",NaN,SO,0
2008-11-08,Buffalo Sabres,1,Boston Bruins,3,"17,565",NaN,NaN,0
2008-11-08,Calgary Flames,1,Columbus Blue Jackets,3,"14,088",NaN,NaN,0
2008-11-08,Nashville Predators,0,Colorado Avalanche,1,"18,007",NaN,NaN,0
2008-11-08,New Jersey Devils,1,Detroit Red Wings,3,"20,066",NaN,NaN,0
2008-11-08,St. Louis Blues,3,Los Angeles Kings,5,"17,182",NaN,NaN,0
2008-11-08,Pittsburgh Penguins,4,New York Islanders,3,"14,303",NaN,SO,0
2008-11-08,Tampa Bay Lightning,2,Philadelphia Flyers,1,"19,412",NaN,NaN,0
2008-11-08,Florida Panthers,1,Phoenix Coyotes,4,"14,807",NaN,NaN,0
2008-11-08,Dallas Stars,1,San Jose Sharks,2,"17,496",NaN,NaN,0
2008-11-08,Montreal Canadiens,3,Toronto Maple Leafs,6,"19,512",NaN,NaN,0
2008-11-08,Minnesota Wild,0,Vancouver Canucks,2,"18,630",NaN,NaN,0
2008-11-08,New York Rangers,1,Washington Capitals,3,"17,948",NaN,NaN,0
2008-11-09,Florida Panthers,3,Anaheim Ducks,1,"16,951",NaN,NaN,0
2008-11-09,Atlanta Thrashers,5,Carolina Hurricanes,2,"12,398",NaN,NaN,0
2008-11-09,Calgary Flames,1,Chicago Blackhawks,6,"21,169",NaN,NaN,0
2008-11-09,Edmonton Oilers,2,New Jersey Devils,1,"14,193",NaN,NaN,0
2008-11-09,San Jose Sharks,2,Phoenix Coyotes,4,"15,056",NaN,NaN,0
2008-11-10,Edmonton Oilers,3,New York Rangers,2,"18,200",NaN,SO,0
2008-11-10,Tampa Bay Lightning,2,Washington Capitals,4,"17,932",NaN,NaN,0
2008-11-11,Toronto Maple Leafs,3,Calgary Flames,4,"19,289",NaN,NaN,0
2008-11-11,Pittsburgh Penguins,7,Detroit Red Wings,6,"20,066",NaN,OT,0
2008-11-11,Dallas Stars,2,Los Angeles Kings,3,"13,823",NaN,SO,0
2008-11-11,Ottawa Senators,0,Montreal Canadiens,4,"21,273",NaN,NaN,0
2008-11-11,Philadelphia Flyers,3,New York Islanders,1,"13,447",NaN,NaN,0
2008-11-11,Nashville Predators,4,San Jose Sharks,3,"17,496",NaN,OT,0
2008-11-12,St. Louis Blues,3,Buffalo Sabres,4,"18,690",NaN,NaN,0
2008-11-12,Washington Capitals,5,Carolina Hurricanes,1,"14,261",NaN,NaN,0
2008-11-12,Phoenix Coyotes,5,Columbus Blue Jackets,2,"11,350",NaN,NaN,0
2008-11-12,Boston Bruins,2,Chicago Blackhawks,1,"22,092",NaN,SO,0
2008-11-12,Tampa Bay Lightning,0,Florida Panthers,4,"12,104",NaN,NaN,0
2008-11-12,New York Rangers,5,New Jersey Devils,2,"17,625",NaN,NaN,0
2008-11-12,Colorado Avalanche,2,Vancouver Canucks,1,"18,630",NaN,SO,0
2008-11-13,Montreal Canadiens,1,Boston Bruins,6,"16,816",NaN,NaN,0
2008-11-13,Los Angeles Kings,3,Dallas Stars,2,"17,675",NaN,NaN,0
2008-11-13,Toronto Maple Leafs,5,Edmonton Oilers,2,"16,839",NaN,NaN,0
2008-11-13,Phoenix Coyotes,0,Minnesota Wild,4,"18,568",NaN,NaN,0
2008-11-13,New York Islanders,3,Ottawa Senators,1,"19,061",NaN,NaN,0
2008-11-13,Philadelphia Flyers,4,Pittsburgh Penguins,5,"17,132",NaN,SO,0
2008-11-13,Calgary Flames,1,San Jose Sharks,6,"17,496",NaN,NaN,0
2008-11-13,Detroit Red Wings,4,Tampa Bay Lightning,3,"20,544",NaN,NaN,0
2008-11-14,Nashville Predators,4,Anaheim Ducks,3,"16,485",NaN,OT,0
2008-11-14,Carolina Hurricanes,2,Atlanta Thrashers,3,"16,128",NaN,NaN,0
2008-11-14,Columbus Blue Jackets,6,Buffalo Sabres,1,"18,690",NaN,NaN,0
2008-11-14,St. Louis Blues,4,Chicago Blackhawks,3,"22,260",NaN,OT,0
2008-11-14,Detroit Red Wings,3,Florida Panthers,2,"18,637",NaN,NaN,0
2008-11-14,New Jersey Devils,1,Washington Capitals,3,"18,277",NaN,NaN,0
2008-11-15,Colorado Avalanche,3,Edmonton Oilers,2,"16,839",NaN,SO,0
2008-11-15,Nashville Predators,3,Los Angeles Kings,1,"14,135",NaN,NaN,0
2008-11-15,Columbus Blue Jackets,2,Minnesota Wild,3,"18,568",NaN,SO,0
